,Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
73344,2020-01-03,IN,India,SEARO,0,0,0,0
73345,2020-01-04,IN,India,SEARO,0,0,0,0
73346,2020-01-05,IN,India,SEARO,0,0,0,0
73347,2020-01-06,IN,India,SEARO,0,0,0,0
73348,2020-01-07,IN,India,SEARO,0,0,0,0
73349,2020-01-08,IN,India,SEARO,0,0,0,0
73350,2020-01-09,IN,India,SEARO,0,0,0,0
73351,2020-01-10,IN,India,SEARO,0,0,0,0
73352,2020-01-11,IN,India,SEARO,0,0,0,0
73353,2020-01-12,IN,India,SEARO,0,0,0,0
73354,2020-01-13,IN,India,SEARO,0,0,0,0
73355,2020-01-14,IN,India,SEARO,0,0,0,0
73356,2020-01-15,IN,India,SEARO,0,0,0,0
73357,2020-01-16,IN,India,SEARO,0,0,0,0
73358,2020-01-17,IN,India,SEARO,0,0,0,0
73359,2020-01-18,IN,India,SEARO,0,0,0,0
73360,2020-01-19,IN,India,SEARO,0,0,0,0
73361,2020-01-20,IN,India,SEARO,0,0,0,0
73362,2020-01-21,IN,India,SEARO,0,0,0,0
73363,2020-01-22,IN,India,SEARO,0,0,0,0
73364,2020-01-23,IN,India,SEARO,0,0,0,0
73365,2020-01-24,IN,India,SEARO,0,0,0,0
73366,2020-01-25,IN,India,SEARO,0,0,0,0
73367,2020-01-26,IN,India,SEARO,0,0,0,0
73368,2020-01-27,IN,India,SEARO,0,0,0,0
73369,2020-01-28,IN,India,SEARO,0,0,0,0
73370,2020-01-29,IN,India,SEARO,0,0,0,0
73371,2020-01-30,IN,India,SEARO,1,1,0,0
73372,2020-01-31,IN,India,SEARO,4,5,0,0
73373,2020-02-01,IN,India,SEARO,0,5,0,0
73374,2020-02-02,IN,India,SEARO,-3,2,0,0
73375,2020-02-03,IN,India,SEARO,1,3,0,0
73376,2020-02-04,IN,India,SEARO,4,7,0,0
73377,2020-02-05,IN,India,SEARO,0,7,0,0
